date,NO2,NO2_cleaned,NO2_filled
2024-02-18,2.817457e-05,2.817457e-05,2.817457e-05
2024-02-19,2.4990648e-05,2.4990648e-05,2.4990648e-05
2024-02-20,2.0274472e-05,2.0274472e-05,2.0274472e-05
2024-02-21,2.3955858e-05,2.3955858e-05,2.3955858e-05
2024-02-22,1.681556e-05,1.681556e-05,1.681556e-05
2024-02-23,2.0121584e-05,2.0121584e-05,2.0121584e-05
2024-02-24,2.342761e-05,2.342761e-05,2.342761e-05
2024-02-25,2.6733636e-05,2.6733636e-05,2.6733636e-05
2024-02-26,3.003966e-05,3.003966e-05,3.003966e-05
2024-02-27,2.8180508e-05,2.8180508e-05,2.8180508e-05
2024-02-28,2.9732011e-05,2.9732011e-05,2.9732011e-05
2024-02-29,3.128351e-05,3.128351e-05,3.128351e-05
2024-03-01,3.283501e-05,3.283501e-05,3.283501e-05
2024-03-02,3.438651e-05,3.438651e-05,3.438651e-05
2024-03-03,3.593801e-05,3.593801e-05,3.593801e-05
2024-03-04,3.748951e-05,3.748951e-05,3.748951e-05
2024-03-05,4.0527022e-05,4.0527022e-05,4.0527022e-05
2024-03-06,4.2381274e-05,4.2381274e-05,4.2381274e-05
2024-03-07,4.610635e-05,4.610635e-05,4.610635e-05
2024-03-08,4.3683704e-05,4.3683704e-05,4.3683704e-05
2024-03-09,4.126106e-05,4.126106e-05,4.126106e-05
2024-03-10,3.8838414e-05,3.8838414e-05,3.8838414e-05
2024-03-11,3.641577e-05,3.641577e-05,3.641577e-05
2024-03-12,3.3993125e-05,3.3993125e-05,3.3993125e-05
2024-03-13,3.1570482e-05,3.1570482e-05,3.1570482e-05
2024-03-14,2.9147835e-05,2.9147835e-05,2.9147835e-05
2024-03-15,2.6725187e-05,2.6725187e-05,2.6725187e-05
2024-03-16,2.4302542e-05,2.4302542e-05,2.4302542e-05
2024-03-17,2.2217477e-05,2.2217477e-05,2.2217477e-05
2024-03-18,2.0132407e-05,2.0132407e-05,2.0132407e-05
2024-03-19,2.0789386e-05,2.0789386e-05,2.0789386e-05
2024-03-20,1.8613335e-05,1.8613335e-05,1.8613335e-05
2024-03-21,2.4927142e-05,2.4927142e-05,2.4927142e-05
2024-03-22,3.1240947e-05,3.1240947e-05,3.1240947e-05
2024-03-23,3.439785e-05,,
2024-03-24,3.7554753e-05,3.7554753e-05,3.7554753e-05
2024-03-25,3.985267e-05,3.985267e-05,3.985267e-05
2024-03-26,4.215058e-05,4.215058e-05,4.215058e-05
2024-03-27,4.4448494e-05,4.4448494e-05,4.4448494e-05
2024-03-28,3.8129205e-05,3.8129205e-05,3.8129205e-05
2024-03-29,3.180991e-05,3.180991e-05,3.180991e-05
2024-03-30,2.0972577e-05,2.0972577e-05,2.0972577e-05
2024-03-31,2.7629314e-05,2.7629314e-05,2.7629314e-05
2024-04-01,3.278973e-05,3.278973e-05,3.278973e-05
2024-04-02,3.7950136e-05,3.7950136e-05,3.7950136e-05
2024-04-03,4.3110544e-05,4.3110544e-05,4.3110544e-05
2024-04-04,3.17357e-05,3.17357e-05,3.17357e-05
2024-04-05,3.8828428e-05,3.8828428e-05,3.8828428e-05
2024-04-06,2.8492728e-05,2.8492728e-05,2.8492728e-05
2024-04-07,2.9971345e-05,2.9971345e-05,2.9971345e-05
2024-04-08,3.0117371e-05,3.0117371e-05,3.0117371e-05
2024-04-09,3.0263398e-05,3.0263398e-05,3.0263398e-05
2024-04-10,2.8176428e-05,2.8176428e-05,2.8176428e-05
2024-04-11,2.6089456e-05,2.6089456e-05,2.6089456e-05
2024-04-12,2.4002484e-05,2.4002484e-05,2.4002484e-05
2024-04-13,3.2033582e-05,3.2033582e-05,3.2033582e-05
2024-04-14,3.0341027e-05,3.0341027e-05,3.0341027e-05
2024-04-15,2.8648468e-05,2.8648468e-05,2.8648468e-05
2024-04-16,2.8216791e-05,2.8216791e-05,2.8216791e-05
2024-04-17,2.7785114e-05,2.7785114e-05,2.7785114e-05
2024-04-18,2.7353432e-05,2.7353432e-05,2.7353432e-05
2024-04-19,2.6921754e-05,2.6921754e-05,2.6921754e-05
2024-04-20,2.7851122e-05,2.7851122e-05,2.7851122e-05
2024-04-21,2.6065678e-05,2.6065678e-05,2.6065678e-05
2024-04-22,2.4280234e-05,2.4280234e-05,2.4280234e-05
2024-04-23,2.2494793e-05,2.2494793e-05,2.2494793e-05
2024-04-24,2.070935e-05,2.070935e-05,2.070935e-05
2024-04-25,1.8923907e-05,1.8923907e-05,1.8923907e-05
2024-04-26,1.7138465e-05,1.7138465e-05,1.7138465e-05
2024-04-27,3.0136945e-05,3.0136945e-05,3.0136945e-05
2024-04-28,3.63408e-05,3.63408e-05,3.63408e-05
2024-04-29,3.5278114e-05,3.5278114e-05,3.5278114e-05
2024-04-30,3.4215434e-05,3.4215434e-05,3.4215434e-05
2024-05-01,3.288677e-05,3.288677e-05,3.288677e-05
2024-05-02,3.1043077e-05,3.1043077e-05,3.1043077e-05
2024-05-03,2.9199386e-05,2.9199386e-05,2.9199386e-05
2024-05-04,2.7355687e-05,2.7355687e-05,2.7355687e-05
2024-05-05,2.344147e-05,2.344147e-05,2.344147e-05
2024-05-06,3.472365e-05,3.472365e-05,3.472365e-05
2024-05-07,4.039028e-05,4.039028e-05,4.039028e-05
2024-05-08,4.271678e-05,4.271678e-05,4.271678e-05
2024-05-09,3.5870948e-05,3.5870948e-05,3.5870948e-05
2024-05-10,2.9025114e-05,2.9025114e-05,2.9025114e-05
2024-05-11,3.5888617e-05,3.5888617e-05,3.5888617e-05
2024-05-12,3.3511027e-05,3.3511027e-05,3.3511027e-05
2024-05-13,3.742576e-05,3.742576e-05,3.742576e-05
2024-05-14,4.1340496e-05,4.1340496e-05,4.1340496e-05
2024-05-15,3.9521266e-05,3.9521266e-05,3.9521266e-05
2024-05-16,3.8009774e-05,3.8009774e-05,3.8009774e-05
2024-05-17,3.3385277e-05,3.3385277e-05,3.3385277e-05
2024-05-18,2.8879622e-05,2.8879622e-05,2.8879622e-05
2024-05-19,3.4883567e-05,3.4883567e-05,3.4883567e-05
2024-05-20,4.0887506e-05,4.0887506e-05,4.0887506e-05
2024-05-21,3.4661767e-05,3.4661767e-05,3.4661767e-05
2024-05-22,3.6676163e-05,3.6676163e-05,3.6676163e-05
2024-05-23,3.869056e-05,3.869056e-05,3.869056e-05
2024-05-24,4.0704952e-05,4.0704952e-05,4.0704952e-05
2024-05-25,4.1918473e-05,4.1918473e-05,4.1918473e-05
2024-05-26,3.8152673e-05,3.8152673e-05,3.8152673e-05
2024-05-27,3.2550794e-05,3.2550794e-05,3.2550794e-05
2024-05-28,1.8916167e-05,1.8916167e-05,1.8916167e-05
2024-05-29,3.0119663e-05,3.0119663e-05,3.0119663e-05
2024-05-30,3.943891e-05,3.943891e-05,3.943891e-05
2024-05-31,3.9109585e-05,3.9109585e-05,3.9109585e-05
2024-06-01,3.254552e-05,3.254552e-05,3.254552e-05
2024-06-02,2.9979914e-05,2.9979914e-05,2.9979914e-05
